지역,이름,사업자,소재지,면적(제곱미터),홀,구분
강원,라데나골프클럽,두산큐벡스㈜(문희종),춘천시 신동면 칠전동길 72,1533823,27,회원제
강원,엘리시안 강촌컨트리클럽,지에스건설㈜(허윤홍),춘천시 남산면 북한강변길 688,1041925,27,회원제
강원,제이드팰리스 골프클럽,한화솔루션㈜ (남정훈),춘천시 남산면 경춘로 212-30,976760,18,회원제
강원,남춘천컨트리클럽,㈜엠디아이레저개발(이형용),춘천시 신동면 오봉길 156,1365368,18,대중제
강원,휘슬링락컨트리클럽,㈜티시스(유태호),춘천시 남산면 동촌로 501,1716158,27,회원제
강원,오너스골프클럽,강촌칼론골프클럽㈜(김종현),춘천시 남산면 동촌로 667,1023600,18,대중제
강원,파가니카컨트리클럽,㈜레저플러스(조태석),춘천시 남면 소주고개로 145-10,1033746,18,대중제
강원,더플레이어스 골프클럽,주식회사 플레이어스골프클럽(권성호),춘천시 동산면 새술막길 438,1661133,27,대중제
강원,스프링베일리조트,㈜춘천골프아카데미(홍순주),춘천시 동면 금베이길 93-27,289720,9,대중제
강원,로드힐스골프클럽,신영종합개발㈜(이정덕),춘천시 동산면 종자리로 148-16,1320950,27,대중제
강원,라비에벨컨트리클럽,코오롱글로벌㈜ (김정일)그린나래㈜ (이정윤),춘천시 동산면 종자리로 436,2091873,36,대중제
강원,베어크리크 춘천,삼보개발(주)(류경호),춘천시 신동면 김유정로 730,922224,18,대중제
강원,오크밸리회원제골프장,에이치디씨리조트주식회사(조영환),원주시 지정면 오크밸리1길 66,1828880,36,회원제
강원,월송리 컨트리클럽,에이치디씨리조트주식회사(조영환),원주시 지정면 오크밸리2길 250,645885,18,대중제
강원,Oak Hills컨트리클럽,에이치디씨리조트주식회사(조영환),원주시 지정면 오크밸리2길 58,937686,18,회원제
강원,성문안 컨트리클럽,에이치디씨리조트주식회사(조영환),원주시 지정면 월송석화로 431,1364106,18,비회원제
강원,센추리21컨트리클럽,센추리개발㈜(이병철 차기광),원주시 문막읍 궁말길 193,1034680,18,회원제
강원,센추리21컨트리클럽Ⅱ,센추리개발㈜(이병철 차기광),원주시 문막읍 궁말길 193,771962,18,대중제
강원,센추리21퍼블릭,센추리개발㈜(이병철 차기광),원주시 문막읍 궁말길 193,327800,9,대중제
강원,파크밸리골프클럽,강원레저개발㈜(민병주),원주시 소초면 바우실길 281,1072958,18,대중제
강원,동서울레스피아,㈜동서울컨트리클럽(김기수),원주시 지정면 신평석화로 236,263484,9,대중제
강원,인터불고원주골프클럽,㈜호텔인터불고 원주(김삼남),원주시 동부순환로 200(반곡동),157963,9,비회원제
강원,오로라 골프 앤 리조트,㈜구학파크랜드(신학명),원주시 신림면 구학산로 1520,848729,18,대중제
강원,샌드파인골프클럽,㈜승산(허인영),강릉시 저동등길 53(저동),912779,18,회원제
강원,메이플비치골프&리조트,원익엘앤디㈜(이재천),강릉시 강동면 풍호길 300-78,776652,18,대중제
강원,O2리조트 골프장,㈜오투리조트(김영윤),태백시 서학로 861,1079900,18,대중제
강원,O2리조트 퍼블릭골프장,㈜오투리조트(김영윤),태백시 서학로 861,467900,9,대중제
강원,설악프라자컨트리클럽,한화호텔앤드리조트㈜(김형조),속초시 미시령로2983번길 56-20,834352,18,회원제
강원,영랑호컨트리클럽,㈜신세계센트럴 영랑호리조트(박주형),속초시 영랑호반길 170,236439,9,대중제
강원,파인밸리컨트리클럽,㈜동양레저(강선),삼척시 근덕면 미근로 1629,969816,18,대중제
강원,블랙밸리컨트리클럽,블랙밸리컨트리클럽㈜(홍용기),삼척시 도계읍 도상로 307-84,979697,18,대중제
강원,소노펠리체 컨트리클럽 비발디파크 웨스트,㈜소노인터내셔널(이광수 이병천),홍천군 서면 한치골길 200,1031267,18,대중제
강원,소노펠리체 컨트리클럽 비발디파크 마운틴,㈜소노인터내셔널(이광수 이병천),홍천군 서면 한치골길 264,489900,9,대중제
강원,소노펠리체 컨트리클럽 비발디파크 이스트,㈜소노인터내셔널(이광수 이병천),홍천군 서면 한치골길 541-123,1306750,18,대중제
강원,비콘힐스골프클럽,우신물산㈜(박준엽),홍천군 홍천읍 높은터로 533,889200,18,대중제
강원,힐드로사이컨트리클럽,㈜이지아이아이앤디(문기훈),홍천군 남면 한서로 2840,1031838,18,대중제
강원,클럽모우골프 &라이프스타일,㈜와이에이치레저개발(박윤하 윤영우),홍천군 서면 장락동길 111,1630601,27,대중제
강원,세이지우드CC홍천,와이케이디벨롭먼트㈜(김승건),홍천군 두촌면 광석로 898-160,1346136,27,비회원제
강원,샤인데일골프&리조트,세안레져산업㈜(이욱재 이영호 이한상),홍천군 서면 한서로 247-156,1698101,27,대중제
